site,county,pm25,datacreationdate,itemunit
馬公,澎湖縣,19,"2026-04-18 21:00",μg/m3
金門,金門縣,16,"2026-04-18 21:00",μg/m3
馬祖,連江縣,21,"2026-04-18 21:00",μg/m3
埔里,南投縣,24,"2026-04-18 21:00",μg/m3
復興,高雄市,14,"2026-04-18 21:00",μg/m3
永和,新北市,21,"2026-04-18 21:00",μg/m3
竹山,南投縣,27,"2026-04-18 21:00",μg/m3
中壢,桃園市,22,"2026-04-18 21:00",μg/m3
三重,新北市,21,"2026-04-18 21:00",μg/m3
冬山,宜蘭縣,23,"2026-04-18 21:00",μg/m3
宜蘭,宜蘭縣,19,"2026-04-18 21:00",μg/m3
陽明,臺北市,19,"2026-04-18 21:00",μg/m3
花蓮,花蓮縣,27,"2026-04-18 21:00",μg/m3
臺東,臺東縣,9,"2026-04-18 21:00",μg/m3
恆春,屏東縣,17,"2026-04-18 21:00",μg/m3
潮州,屏東縣,25,"2026-04-18 21:00",μg/m3
屏東,屏東縣,22,"2026-04-18 21:00",μg/m3
小港,高雄市,16,"2026-04-18 21:00",μg/m3
前鎮,高雄市,20,"2026-04-18 21:00",μg/m3
前金,高雄市,14,"2026-04-18 21:00",μg/m3
左營,高雄市,13,"2026-04-18 21:00",μg/m3
楠梓,高雄市,21,"2026-04-18 21:00",μg/m3
林園,高雄市,32,"2026-04-18 21:00",μg/m3
大寮,高雄市,27,"2026-04-18 21:00",μg/m3
鳳山,高雄市,22,"2026-04-18 21:00",μg/m3
仁武,高雄市,22,"2026-04-18 21:00",μg/m3
橋頭,高雄市,22,"2026-04-18 21:00",μg/m3
美濃,高雄市,17,"2026-04-18 21:00",μg/m3
臺南,臺南市,24,"2026-04-18 21:00",μg/m3
安南,臺南市,24,"2026-04-18 21:00",μg/m3
善化,臺南市,25,"2026-04-18 21:00",μg/m3
新營,臺南市,24,"2026-04-18 21:00",μg/m3
嘉義,嘉義市,35,"2026-04-18 21:00",μg/m3
臺西,雲林縣,61,"2026-04-18 21:00",μg/m3
朴子,嘉義縣,27,"2026-04-18 21:00",μg/m3
新港,嘉義縣,28,"2026-04-18 21:00",μg/m3
崙背,雲林縣,27,"2026-04-18 21:00",μg/m3
斗六,雲林縣,27,"2026-04-18 21:00",μg/m3
南投,南投縣,28,"2026-04-18 21:00",μg/m3
二林,彰化縣,29,"2026-04-18 21:00",μg/m3
線西,彰化縣,22,"2026-04-18 21:00",μg/m3
彰化,彰化縣,23,"2026-04-18 21:00",μg/m3
西屯,臺中市,27,"2026-04-18 21:00",μg/m3
忠明,臺中市,20,"2026-04-18 21:00",μg/m3
大里,臺中市,25,"2026-04-18 21:00",μg/m3
